epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3485,2.22345,5.48574,1.81639,0,0,0,0,1.86796,5.49585,1.75542,8e-05,8e-05,8e-05
2,14.3248,1.90439,4.65027,1.52203,0.00145,0.30769,0.001,0.00065,1.19375,4.21968,0.94794,0.000178218,0.000178218,0.000178218
3,16.4077,1.53301,3.77812,1.12219,0.00254,0.53846,0.19052,0.08648,1.20412,4.0999,0.91415,0.000274456,0.000274456,0.000274456
4,18.0014,1.46141,2.89269,1.07296,0.00275,0.58462,0.22023,0.09993,1.20762,4.01564,0.89178,0.000368714,0.000368714,0.000368714
5,20.5631,1.49015,2.3887,1.09733,0.0029,0.61538,0.22348,0.08941,1.26675,3.98416,0.92211,0.000460992,0.000460992,0.000460992
6,22.0879,1.37103,2.10666,1.00673,0.00312,0.66154,0.21824,0.09113,1.16821,3.9086,0.89207,0.00055129,0.00055129,0.00055129
7,26.094,1.36515,1.91666,1.00367,0.0029,0.61538,0.18022,0.06461,1.12069,3.91583,0.89953,0.000639608,0.000639608,0.000639608
8,27.7573,1.36601,2.15218,0.98677,0.00283,0.6,0.04087,0.02135,1.27317,4.04072,0.92755,0.000725946,0.000725946,0.000725946
9,31.309,1.39293,2.1801,1.01742,0.00297,0.63077,0.0042,0.00207,1.27137,3.95615,0.95858,0.000810304,0.000810304,0.000810304
10,32.9431,1.43824,1.92426,1.04165,0.00304,0.64615,0.0069,0.00406,1.23033,3.84337,0.97564,0.000892682,0.000892682,0.000892682
11,36.6444,1.36574,1.83055,1.02716,0.00297,0.63077,0.12147,0.07208,1.28468,3.801,0.98152,0.00097308,0.00097308,0.00097308
12,38.2727,1.46797,1.98938,1.01298,0.00297,0.63077,0.03238,0.02007,1.32323,3.74324,0.98826,0.0010515,0.0010515,0.0010515
13,42.1556,1.37243,1.75773,1.00441,0.00312,0.66154,0.03782,0.02061,1.31653,3.69822,0.97791,0.00112794,0.00112794,0.00112794
14,43.7369,1.34058,1.69381,1.00495,0.00333,0.70769,0.20279,0.12217,1.20755,3.48737,0.91515,0.00120239,0.00120239,0.00120239
15,47.4199,1.37428,1.67694,1.00452,0.89946,0.13772,0.34836,0.17738,1.35959,3.45708,0.98173,0.00127487,0.00127487,0.00127487
16,49.0217,1.23681,1.68219,0.97633,1,0.10593,0.36834,0.19998,1.28656,3.39737,0.94715,0.00134537,0.00134537,0.00134537
17,52.7977,1.37416,1.61934,1.0456,0.93326,0.21515,0.40307,0.26082,1.23879,3.19373,0.91518,0.00141389,0.00141389,0.00141389
18,54.3851,1.31498,1.61294,1.0235,1,0.23653,0.4693,0.28444,1.26142,3.16131,0.91496,0.00148043,0.00148043,0.00148043
19,58.1683,1.32919,1.66733,1.00183,1,0.193,0.48971,0.30016,1.35994,3.21618,0.92721,0.00154498,0.00154498,0.00154498
20,59.718,1.35483,1.72002,1.0207,1,0.32288,0.54692,0.37352,1.19514,2.67298,0.91452,0.00160756,0.00160756,0.00160756
21,63.555,1.3892,1.52776,1.01778,0.91804,0.30769,0.54611,0.37225,1.19981,2.54161,0.90532,0.001604,0.001604,0.001604
22,65.0808,1.2768,1.47656,0.97171,0.82651,0.29321,0.51275,0.33089,1.29514,2.53051,0.92364,0.0015842,0.0015842,0.0015842
23,68.9142,1.25013,1.4915,1.01069,0.86835,0.40602,0.5531,0.34487,1.34906,2.29289,0.93531,0.0015644,0.0015644,0.0015644
24,70.4902,1.2654,1.46203,0.96908,0.86803,0.53846,0.60286,0.34232,1.41291,2.0628,0.94652,0.0015446,0.0015446,0.0015446
25,74.3226,1.28505,1.49027,0.99003,0.76768,0.55927,0.60763,0.34994,1.31554,2.05756,0.93695,0.0015248,0.0015248,0.0015248
26,75.9153,1.445,1.61686,1.00532,0.76193,0.54166,0.58783,0.37035,1.32785,2.11792,0.95642,0.001505,0.001505,0.001505
27,80.313,1.34714,1.45167,1.00753,0.87166,0.52248,0.60319,0.33869,1.40858,2.13664,0.98051,0.0014852,0.0014852,0.0014852
28,82.4647,1.30004,1.36473,0.98582,0.85447,0.50769,0.60478,0.38674,1.25767,1.9641,0.97245,0.0014654,0.0014654,0.0014654
29,86.3686,1.17525,1.39241,0.98585,0.78356,0.56923,0.61751,0.39229,1.22219,1.71303,0.95973,0.0014456,0.0014456,0.0014456
30,88.094,1.21473,1.4268,0.99672,0.76228,0.56923,0.61941,0.40648,1.21328,1.59511,0.96222,0.0014258,0.0014258,0.0014258
31,92.407,1.17006,1.2801,0.968,0.78393,0.55823,0.62778,0.41427,1.19204,1.53053,0.95483,0.001406,0.001406,0.001406
32,94.199,1.12945,1.24245,0.97406,0.78897,0.63077,0.66597,0.44806,1.15856,1.3512,0.92945,0.0013862,0.0013862,0.0013862
33,98.0725,1.11491,1.18452,0.97512,0.8874,0.64615,0.69696,0.45758,1.10734,1.20274,0.9062,0.0013664,0.0013664,0.0013664
34,99.7771,1.17547,1.25582,0.97439,0.87645,0.65492,0.71251,0.42963,1.13106,1.14839,0.89982,0.0013466,0.0013466,0.0013466
35,103.771,1.09903,1.21879,0.96566,0.83677,0.66154,0.71713,0.43334,1.15986,1.14726,0.91631,0.0013268,0.0013268,0.0013268
36,105.451,1.15978,1.1854,0.98178,0.8068,0.6425,0.70066,0.4345,1.13788,1.12148,0.91659,0.001307,0.001307,0.001307
37,109.503,1.13236,1.16845,0.94375,0.81058,0.59258,0.68757,0.46016,1.09168,1.08385,0.91229,0.0012872,0.0012872,0.0012872
38,111.216,1.10644,1.1306,0.94518,0.89021,0.6,0.70492,0.48704,1.0378,1.08973,0.90395,0.0012674,0.0012674,0.0012674
39,115.15,1.1283,1.13326,0.97654,0.89644,0.64615,0.73138,0.47002,1.07732,1.0991,0.89568,0.0012476,0.0012476,0.0012476
40,116.81,1.1579,1.17226,0.97944,0.89556,0.63077,0.72652,0.43304,1.21019,1.1955,0.9137,0.0012278,0.0012278,0.0012278
41,120.766,1.03947,1.06146,0.9369,0.81211,0.64615,0.7076,0.45124,1.07185,1.1135,0.90016,0.001208,0.001208,0.001208
42,122.431,1.12373,1.12243,0.9424,0.8269,0.66143,0.70675,0.46669,1.01611,1.09442,0.88457,0.0011882,0.0011882,0.0011882
43,126.264,1.07379,1.06648,0.90752,0.8443,0.67692,0.70598,0.46921,1.00674,1.04163,0.88172,0.0011684,0.0011684,0.0011684
44,128.015,1.12059,1.11337,0.94503,0.81865,0.69231,0.70616,0.48021,1.00853,0.98162,0.87783,0.0011486,0.0011486,0.0011486
45,131.945,1.07112,1.0754,0.92964,0.85638,0.67692,0.70628,0.49059,1.02429,0.98955,0.87997,0.0011288,0.0011288,0.0011288
46,133.604,1.02776,1.01349,0.90218,0.89315,0.67692,0.70312,0.46651,1.08428,0.98742,0.8895,0.001109,0.001109,0.001109
47,137.699,1.02264,1.04493,0.90879,0.9164,0.67458,0.70137,0.47165,1.07841,0.99304,0.89399,0.0010892,0.0010892,0.0010892
48,139.326,1.04997,1.02643,0.94463,0.91345,0.69231,0.7103,0.49351,0.97538,0.9529,0.88381,0.0010694,0.0010694,0.0010694
49,143.429,0.97173,0.96385,0.90612,0.85986,0.69231,0.71184,0.49304,0.98232,0.93386,0.8843,0.0010496,0.0010496,0.0010496
50,145.092,0.9602,0.97343,0.89989,0.87525,0.69231,0.71251,0.48164,1.00069,0.94827,0.87945,0.0010298,0.0010298,0.0010298
51,149.191,1.04527,0.97656,0.92726,0.86976,0.67692,0.71423,0.46486,1.03999,0.9656,0.88748,0.00101,0.00101,0.00101
52,150.92,1.0359,0.9647,0.92694,0.88006,0.64615,0.7059,0.48224,1.02036,0.91364,0.88923,0.0009902,0.0009902,0.0009902
53,154.79,1.09253,0.98248,0.94432,0.86281,0.6773,0.71612,0.48624,1.00205,0.92613,0.89268,0.0009704,0.0009704,0.0009704
54,156.409,1.05181,0.98878,0.91031,0.89174,0.63369,0.71675,0.47924,0.97221,0.96254,0.8865,0.0009506,0.0009506,0.0009506
55,160.349,1.02455,0.96366,0.9302,0.93278,0.61538,0.71419,0.46052,0.99931,1.00327,0.8844,0.0009308,0.0009308,0.0009308
56,162.016,0.96665,0.91954,0.91087,0.91883,0.63077,0.71399,0.48686,0.97655,1.00951,0.88112,0.000911,0.000911,0.000911
57,165.928,0.96308,0.9239,0.88081,0.89902,0.63077,0.71157,0.50334,0.98099,1.01407,0.87848,0.0008912,0.0008912,0.0008912
58,167.624,0.98001,0.89717,0.90714,0.869,0.64615,0.70507,0.49542,0.97783,0.99399,0.87711,0.0008714,0.0008714,0.0008714
59,171.469,0.9761,0.87199,0.9128,0.85835,0.65264,0.70221,0.49543,0.97765,0.99668,0.87938,0.0008516,0.0008516,0.0008516
60,173.104,1.01597,0.89928,0.9134,0.84462,0.64615,0.69552,0.48143,0.96844,0.96632,0.8775,0.0008318,0.0008318,0.0008318
61,177.047,0.88798,0.82357,0.90344,0.87034,0.64615,0.69713,0.48705,0.97048,0.90645,0.87745,0.000812,0.000812,0.000812
62,178.713,0.93685,0.87378,0.89182,0.84401,0.66601,0.70475,0.48873,1.01832,0.87172,0.87489,0.0007922,0.0007922,0.0007922
63,182.598,0.95324,0.89561,0.89428,0.83682,0.67692,0.70633,0.48189,1.05053,0.83483,0.87853,0.0007724,0.0007724,0.0007724
64,184.306,1.00264,0.84185,0.89061,0.76348,0.67692,0.70126,0.48752,1.00379,0.81641,0.88067,0.0007526,0.0007526,0.0007526
65,188.175,1.01154,0.90139,0.94082,0.77286,0.68056,0.6991,0.46307,1.06173,0.84701,0.88474,0.0007328,0.0007328,0.0007328
66,189.952,0.98923,0.89486,0.9404,0.87001,0.66154,0.69587,0.46864,1.09835,0.84637,0.88919,0.000713,0.000713,0.000713
67,194.024,0.99422,0.86749,0.91012,0.88097,0.66154,0.7018,0.4852,1.06859,0.84681,0.89168,0.0006932,0.0006932,0.0006932
